symbol,date,open_price,high_price,low_price,close_price,volume
IWM,2025-01-28,226.74,227.56,225.18,226.75,16847400
IWM,2025-01-29,226.68,228.22,224.58,226.23,20280500
IWM,2025-01-30,228.52,230.05,226.92,228.53,25575100
IWM,2025-01-31,228.75,230.32,225.54,226.48,35348800
IWM,2025-02-03,221.51,225.55,220.67,223.83,34023345
IWM,2025-02-04,223.6,227.13,223.21,226.93,17985502
IWM,2025-02-05,228.06,229.5,226.89,229.4,15197300
IWM,2025-02-06,230.51,230.7,227.3,228.65,18809400
IWM,2025-02-07,228.85,229.25,225.58,226.0,28914429
IWM,2025-02-10,227.37,227.52,225.86,227.02,14574700
IWM,2025-02-11,225.05,226.42,224.81,225.7,18215717
IWM,2025-02-12,222.26,224.48,221.79,223.62,25572800
IWM,2025-02-13,225.04,226.34,223.75,226.14,21419400
IWM,2025-02-14,227.27,227.98,225.61,225.97,13574522
IWM,2025-02-18,226.15,227.67,225.51,227.21,15166519
IWM,2025-02-19,225.41,227.15,225.08,226.43,16194800
IWM,2025-02-20,226.01,226.19,223.01,224.26,18507741
IWM,2025-02-21,226.0,226.36,217.46,217.8,45036913
IWM,2025-02-24,218.79,218.79,215.15,216.23,30246231
IWM,2025-02-25,216.37,217.27,213.49,215.41,33665100
IWM,2025-02-26,216.06,218.41,214.84,215.68,25464200
IWM,2025-02-27,215.64,216.49,212.22,212.39,29378527
IWM,2025-02-28,211.64,214.66,210.96,214.65,32015400
IWM,2025-03-03,215.4,215.96,207.42,208.78,36330030
IWM,2025-03-04,205.93,209.77,203.19,206.42,56427100
IWM,2025-03-05,206.45,208.84,204.82,208.47,35778500
IWM,2025-03-06,205.78,208.12,203.9,205.28,39206300
IWM,2025-03-07,204.97,207.11,201.73,205.95,43514000
IWM,2025-03-10,203.44,204.74,198.75,200.77,39442839
IWM,2025-03-11,201.12,203.22,198.53,200.75,51509700
IWM,2025-03-12,203.05,203.75,199.55,201.1,36881730
IWM,2025-03-13,201.27,202.03,197.0,198.1,31336900
IWM,2025-03-14,200.24,203.07,199.34,202.89,34089406
IWM,2025-03-17,202.71,206.02,202.6,205.45,26947600
IWM,2025-03-18,203.85,203.92,202.35,203.21,22888000
IWM,2025-03-19,203.35,207.68,202.9,206.37,31595600
IWM,2025-03-20,204.32,207.3,204.2,205.06,25665925
IWM,2025-03-21,202.72,204.42,201.76,203.79,39470240
IWM,2025-03-24,206.96,209.23,206.69,208.86,25774700
IWM,2025-03-25,208.69,209.27,207.09,207.7,17836900
IWM,2025-03-26,207.96,208.82,204.68,205.59,19422394
IWM,2025-03-27,205.33,206.35,203.76,204.61,23960035
IWM,2025-03-28,204.54,204.58,199.38,200.45,26656200
IWM,2025-03-31,197.48,200.64,195.49,199.49,32250800
IWM,2025-04-01,198.99,201.23,196.66,199.51,26054120
IWM,2025-04-02,196.78,203.33,196.54,202.66,36603040
IWM,2025-04-03,193.11,195.06,189.2,189.65,60551537
IWM,2025-04-04,182.61,184.05,176.67,181.19,92612800
